service_id,date,exception_type
2601-778-1840052026-6NYY#6BE,20260520,2
2601-779-1230052026-6BE#6NYY,20260505,2
2601-779-1230052026-6BE#6NYY,20260506,2
2601-779-1230052026-6BE#6NYY,20260512,2
2601-779-1230052026-6BE#6NYY,20260513,2
2601-779-1230052026-6BE#6NYY,20260519,2
2601-779-1230052026-6BE#6NYY,20260520,2
2601-82-1700032026-6NYY#DCD6,20260309,2
2601-82-1700032026-6NYY#DCD6,20260310,2
2601-82-1700032026-6NYY#DCD6,20260316,2
2601-82-1700032026-6NYY#DCD6,20260317,2
2601-82-1700032026-6NYY#DCD6,20260323,2
2601-82-1700032026-6NYY#DCD6,20260324,2
2601-901-1030032026-6RL#6NYY,20260309,2
2601-901-1030032026-6RL#6NYY,20260310,2
2601-901-1030032026-6RL#6NYY,20260316,2
2601-901-1030032026-6RL#6NYY,20260317,2
2601-901-1030032026-6RL#6NYY,20260323,2
2601-901-1030032026-6RL#6NYY,20260324,2
2601-910-1600032026-6MT#DCD6,20260309,2
2601-910-1600032026-6MT#DCD6,20260310,2
2601-910-1600032026-6MT#DCD6,20260316,2
2601-910-1600032026-6MT#DCD6,20260317,2
2601-910-1600032026-6MT#DCD6,20260323,2
2601-910-1600032026-6MT#DCD6,20260324,2
2605-103-1320052026-6DR#6NY,20260505,2
2605-103-1320052026-6DR#6NY,20260512,2
2605-103-1320052026-6DR#6NY,20260519,2
2605-104-1130052026-6NY#6DR,20260504,2
2605-104-1130052026-6NY#6DR,20260511,2
2605-104-1130052026-6NY#6DR,20260518,2
2605-876-1501052026-6MT#RVA6,20260505,2
2605-876-1501052026-6MT#RVA6,20260506,2
2605-876-1501052026-6MT#RVA6,20260507,2
2605-876-1501052026-6MT#RVA6,20260512,2
2605-876-1501052026-6MT#RVA6,20260513,2
2605-876-1501052026-6MT#RVA6,20260514,2
2605-876-1501052026-6MT#RVA6,20260519,2
2605-876-1501052026-6MT#RVA6,20260520,2
2605-876-1501052026-6MT#RVA6,20260521,2
2605-877-1600052026-6DR#6MT,20260504,2
2605-877-1600052026-6DR#6MT,20260505,2
2605-877-1600052026-6DR#6MT,20260506,2
2605-877-1600052026-6DR#6MT,20260511,2
2605-877-1600052026-6DR#6MT,20260512,2
2605-877-1600052026-6DR#6MT,20260513,2
2605-877-1600052026-6DR#6MT,20260518,2
2605-877-1600052026-6DR#6MT,20260519,2
2605-877-1600052026-6DR#6MT,20260520,2
2605-978-0920052026-WHP6#6DR,20260506,2
2605-978-0920052026-WHP6#6DR,20260513,2
2605-978-0920052026-WHP6#6DR,20260520,2
2605-979-1420052026-6DR#WHP6,20260505,2
2605-979-1420052026-6DR#WHP6,20260512,2
2605-979-1420052026-6DR#WHP6,20260519,2
2608-55-1845042026-VBH6#6NY,20260404,2
2608-58-2100042026-6NY#VBH6,20260404,2
2609-551-1000052026-DCD6#6BRO,20260504,2
2609-551-1000052026-DCD6#6BRO,20260505,2
2609-551-1000052026-DCD6#6BRO,20260506,2
2609-551-1000052026-DCD6#6BRO,20260507,2
2609-551-1000052026-DCD6#6BRO,20260511,2
2609-551-1000052026-DCD6#6BRO,20260512,2
2609-551-1000052026-DCD6#6BRO,20260513,2
2609-551-1000052026-DCD6#6BRO,20260514,2
2609-551-1000052026-DCD6#6BRO,20260518,2
2609-551-1000052026-DCD6#6BRO,20260519,2
2609-551-1000052026-DCD6#6BRO,20260520,2
2609-551-1000052026-DCD6#6BRO,20260521,2
2609-552-1600052026-6BRO#DCD6,20260504,2
2609-552-1600052026-6BRO#DCD6,20260505,2
2609-552-1600052026-6BRO#DCD6,20260506,2
2609-552-1600052026-6BRO#DCD6,20260507,2
2609-552-1600052026-6BRO#DCD6,20260511,2
2609-552-1600052026-6BRO#DCD6,20260512,2
2609-552-1600052026-6BRO#DCD6,20260513,2
2609-552-1600052026-6BRO#DCD6,20260514,2
2609-552-1600052026-6BRO#DCD6,20260518,2
2609-552-1600052026-6BRO#DCD6,20260519,2
2609-552-1600052026-6BRO#DCD6,20260520,2
2609-552-1600052026-6BRO#DCD6,20260521,2
2609-562-1415052026-6BRO#DCD6,20260505,2
2609-562-1415052026-6BRO#DCD6,20260506,2
2609-562-1415052026-6BRO#DCD6,20260512,2
2609-562-1415052026-6BRO#DCD6,20260513,2
2609-562-1415052026-6BRO#DCD6,20260519,2
2609-562-1415052026-6BRO#DCD6,20260520,2
2609-563-2055052026-DCD6#6BRO,20260505,2
2609-563-2055052026-DCD6#6BRO,20260506,2
2609-563-2055052026-DCD6#6BRO,20260512,2
2609-563-2055052026-DCD6#6BRO,20260513,2
2609-563-2055052026-DCD6#6BRO,20260519,2
2609-563-2055052026-DCD6#6BRO,20260520,2
2610-111-1715042026-6NYY#BOS6,20260404,2
2610-222-2300042026-BOS6#6NYY,20260404,2
2610-8-1300042026-BOS6#6NYY,20260402,2
2612-50-1245052026-BOS6#6QJ,20260505,2
2612-50-1245052026-BOS6#6QJ,20260512,2
2612-50-1245052026-BOS6#6QJ,20260519,2
2612-51-1845052026-6QJ#BOS6,20260505,2
2612-51-1845052026-6QJ#BOS6,20260512,2
2612-51-1845052026-6QJ#BOS6,20260519,2
2612-52-1500052026-BOS6#6QJ,20260506,2
2612-52-1500052026-BOS6#6QJ,20260513,2
2612-52-1500052026-BOS6#6QJ,20260520,2
2612-53-2130052026-6QJ#BOS6,20260506,2
2612-53-2130052026-6QJ#BOS6,20260513,2
2612-53-2130052026-6QJ#BOS6,20260520,2
2612-56-1730052026-BOS6#6QJ,20260506,2
2612-56-1730052026-BOS6#6QJ,20260513,2
2612-56-1730052026-BOS6#6QJ,20260520,2
2612-57-1145052026-6QJ#BOS6,20260506,2
2612-57-1145052026-6QJ#BOS6,20260513,2
2612-57-1145052026-6QJ#BOS6,20260520,2
2612-58-2015052026-BOS6#6QJ,20260505,2
2612-58-2015052026-BOS6#6QJ,20260512,2
2612-58-2015052026-BOS6#6QJ,20260519,2
2612-59-1400052026-6QJ#BOS6,20260505,2
2612-59-1400052026-6QJ#BOS6,20260512,2
2612-59-1400052026-6QJ#BOS6,20260519,2
2612-60-2230052026-BOS6#6QJ,20260502,2
2612-60-2230052026-BOS6#6QJ,20260506,2
2612-60-2230052026-BOS6#6QJ,20260509,2
2612-60-2230052026-BOS6#6QJ,20260513,2
2612-60-2230052026-BOS6#6QJ,20260516,2
2612-60-2230052026-BOS6#6QJ,20260520,2
2612-60-2230052026-BOS6#6QJ,20260523,2
2612-61-1615052026-6QJ#BOS6,20260502,2
2612-61-1615052026-6QJ#BOS6,20260506,2
2612-61-1615052026-6QJ#BOS6,20260509,2
2612-61-1615052026-6QJ#BOS6,20260513,2
2612-61-1615052026-6QJ#BOS6,20260516,2
2612-61-1615052026-6QJ#BOS6,20260520,2
2612-61-1615052026-6QJ#BOS6,20260523,2
2614-34-1715052026-BOS6#NWK6,20260505,2
2614-34-1715052026-BOS6#NWK6,20260512,2
2614-34-1715052026-BOS6#NWK6,20260519,2
2614-35-1130052026-NWK6#BOS6,20260505,2
2614-35-1130052026-NWK6#BOS6,20260512,2
2614-35-1130052026-NWK6#BOS6,20260519,2
2614-36-2115052026-BOS6#NWK6,20260506,2
2614-36-2115052026-BOS6#NWK6,20260513,2
2614-36-2115052026-BOS6#NWK6,20260520,2
2614-37-1430052026-NWK6#BOS6,20260506,2
2614-37-1430052026-NWK6#BOS6,20260513,2
2614-37-1430052026-NWK6#BOS6,20260520,2
2616-1-1730052026-PRO6#6MT,20260506,2
2616-1-1730052026-PRO6#6MT,20260513,2
2616-1-1730052026-PRO6#6MT,20260520,2
2616-2-1200052026-6MT#PRO6,20260506,2
2616-2-1200052026-6MT#PRO6,20260513,2
2616-2-1200052026-6MT#PRO6,20260520,2
2619-11-1515052026-6MK#BOS6,20260506,2
2619-11-1515052026-6MK#BOS6,20260513,2
2619-11-1515052026-6MK#BOS6,20260520,2
2619-22-1430052026-BOS6#6MK,20260507,2
2619-22-1430052026-BOS6#6MK,20260514,2
2619-22-1430052026-BOS6#6MK,20260521,2
2650-111-1540052026-6RA#6MT,20260504,2
2650-111-1540052026-6RA#6MT,20260511,2
2650-111-1540052026-6RA#6MT,20260518,2
2650-122-1815052026-6MT#6RA,20260505,2
2650-122-1815052026-6MT#6RA,20260506,2
2650-122-1815052026-6MT#6RA,20260512,2
2650-122-1815052026-6MT#6RA,20260513,2
2650-122-1815052026-6MT#6RA,20260519,2
2650-122-1815052026-6MT#6RA,20260520,2
2651-91-1940052026-6CH#6MT,20260505,2
2651-91-1940052026-6CH#6MT,20260506,2
2651-91-1940052026-6CH#6MT,20260512,2
2651-91-1940052026-6CH#6MT,20260513,2
2651-91-1940052026-6CH#6MT,20260519,2
2651-91-1940052026-6CH#6MT,20260520,2
2651-92-1350052026-6MT#6CH,20260505,2
2651-92-1350052026-6MT#6CH,20260506,2
2651-92-1350052026-6MT#6CH,20260512,2
2651-92-1350052026-6MT#6CH,20260513,2
2651-92-1350052026-6MT#6CH,20260519,2
2651-92-1350052026-6MT#6CH,20260520,2
2651-96-1615052026-6MT#6MK,20260505,2
2651-96-1615052026-6MT#6MK,20260506,2
2651-96-1615052026-6MT#6MK,20260512,2
2651-96-1615052026-6MT#6MK,20260513,2
2651-96-1615052026-6MT#6MK,20260519,2
2651-96-1615052026-6MT#6MK,20260520,2
2651-97-1225052026-6MV#6MT,20260505,2
2651-97-1225052026-6MV#6MT,20260506,2
2651-97-1225052026-6MV#6MT,20260512,2
2651-97-1225052026-6MV#6MT,20260513,2
2651-97-1225052026-6MV#6MT,20260519,2
2651-97-1225052026-6MV#6MT,20260520,2
2654-48-1230052026-6MT#PGH6,20260507,2
